iter	Passed	Remaining
763	9437	2915
764	9462	2906
765	9476	2894
766	9491	2883
767	9506	2871
768	9523	2860
769	9556	2854
770	9585	2847
771	9673	2856
772	9682	2843
773	9701	2832
774	9713	2819
775	9721	2806
776	9730	2792
777	9745	2780
778	9774	2773
779	9807	2766
780	9828	2756
781	9845	2744
782	9856	2731
783	9863	2717
784	9883	2706
785	9898	2694
786	9904	2680
787	9932	2672
788	9947	2660
789	9961	2647
790	9977	2636
791	9984	2622
792	9989	2607
793	10000	2594
794	10033	2587
795	10043	2573
796	10056	2561
797	10105	2558
798	10155	2554
799	10185	2546
800	10195	2533
801	10200	2518
802	10227	2509
803	10262	2501
804	10270	2488
805	10278	2474
806	10297	2462
807	10311	2450
808	10322	2437
809	10334	2424
810	10343	2410
811	10358	2398
812	10373	2385
813	10381	2372
814	10394	2359
815	10409	2347
816	10440	2338
817	10478	2331
818	10506	2321
819	10520	2309
820	10557	2301
821	10571	2289
822	10703	2302
823	10771	2300
824	10799	2290
825	10814	2278
826	10852	2270
827	10973	2279
828	11002	2269
829	11011	2255
830	11016	2240
831	11078	2236
832	11082	2221
833	11094	2208
834	11101	2193
835	11115	2180
836	11141	2169
837	11150	2155
838	11158	2141
839	11165	2126
840	11173	2112
841	11210	2103
842	11227	2091
843	11240	2077
844	11254	2064
845	11268	2051
846	11285	2038
847	11295	2024
848	11305	2010
849	11311	1996
850	11324	1982
851	11336	1969
852	11352	1956
853	11360	1942
854	11370	1928
855	11375	1913
856	11389	1900
857	11402	1887
858	11420	1874
859	11423	1859
860	11437	1846
861	11451	1833
862	11471	1821
863	11481	1807
864	11496	1794
865	11513	1781
866	11526	1768
867	11535	1754
868	11543	1740
869	11567	1728
870	11575	1714
871	11603	1703
872	11632	1692
873	11638	1677
874	11648	1664
875	11654	1649
876	11665	1636
877	11677	1622
878	11691	1609
879	11699	1595
880	11712	1582
881	11715	1567
882	11728	1554
883	11739	1540
884	11762	1528
885	11778	1515
886	11794	1502
887	11808	1489
888	11825	1476
889	11860	1465
890	11898	1455
891	11902	1441
892	11913	1427
893	11919	1413
894	11927	1399
895	11935	1385
896	11947	1371
897	11960	1358
898	11985	1346
899	12008	1334
900	12021	1320
901	12040	1308
902	12072	1296
903	12087	1283
904	12102	1270
905	12107	1256
906	12119	1242
907	12125	1228
908	12139	1215
909	12146	1201
910	12151	1187
911	12163	1173
912	12181	1160
913	12187	1146
914	12202	1133
915	12229	1121
916	12236	1107
917	12249	1094
918	12262	1080
919	12273	1067
920	12277	1053
921	12283	1039
922	12294	1025
923	12298	1011
924	12311	998
925	12325	985
926	12352	972
927	12367	959
928	12373	945
929	12388	932
930	12409	919
931	12429	906
932	12437	893
933	12448	879
934	12465	866
935	12494	854
936	12499	840
937	12510	826
938	12523	813
939	12543	800
940	12549	786
941	12561	773
942	12571	759
943	12575	745
944	12586	732
945	12596	719
946	12607	705
947	12621	692
948	12627	678
949	12641	665
950	12655	652
951	12671	638
952	12676	625
953	12686	611
954	12691	598
955	12705	584
956	12715	571
957	12719	557
958	12733	544
959	12736	530
960	12742	517
961	12748	503
962	12751	489
963	12762	476
964	12765	463
965	12778	449
966	12784	436
967	12791	422
968	12799	409
969	12812	396
970	12826	383
971	12838	369
972	12845	356
973	12857	343
974	12863	329
975	12876	316
976	12908	303
977	12924	290
978	12929	277
979	12939	264
980	12945	250
981	12961	237
982	12972	224
983	13086	212
984	13094	199
985	13103	186
986	13138	173
987	13152	159
988	13171	146
989	13175	133
990	13189	119
991	13201	106
992	13205	93
993	13213	79
994	13222	66
995	13237	53
996	13249	39
997	13260	26
998	13270	13
999	13281	0
